addr,category,context,id1,name,rank,x,y
충청북도 영동군 영동읍 새심길 34-9,"한식,두부요리",,37628370,가마솥두부,20,36.1681698,127.7894523
충청북도 제천시 금성면 청풍호로 991,"일식,일본식라면",,1539080394,금성제면소,19,37.0666211,128.1683496
충청북도 제천시 금성면 청풍호로 1643,"한식,육류,고기요리","마늘떡갈비,명이나물,한우,친절한,드라이브",11883809,청풍떡갈비,20,37.0227072,128.1752088
충청북도 진천군 진천읍 명암길 1,"카페,디저트,카페",,1963038064,쉼표카페,7,36.8812001,127.4011815
충청북도 진천군 덕산읍 시가로 46,"음식점,카페,디저트",,1084106226,카페두촌리,8,36.9045302,127.5358997
충청북도 진천군 덕산읍 예지1길 3-2 맛뜸,"한식,육류,고기요리",,1550410474,맛뜸,9,36.9027198,127.5315653
충청북도 진천군 진천읍 원덕로 390 진천전통시장 B동 139호,"음식점,치킨,닭강정",,36916303,킹콩치킨,10,36.8606923,127.4508774
충청북도 진천군 진천읍 문화3길 45,"한식,막국수","막국수,메밀전병,갈비만두,냉면",35209446,시골막국수 진천점,11,36.8461575,127.4427434
충청북도 증평군 증평읍 초중6길 91 1층 102호,"한식,생선회",,1473423608,일미참치앤스시,9,36.7803192,127.5758534
충청북도 증평군 증평읍 자양길 4,"카페,디저트,카페",,1619642679,카페847,10,36.8141648,127.5852692
충청북도 청주시 청원구 율량로 166,"일식,일식당","숙성회,초밥,돈가스,싱싱한,광어회",38526505,대광어,1,36.6679306,127.4990446
충청북도 청주시 상당구 성내로118번길 10,"한식,육류,고기요리","닭백숙,오리백숙,해물파전,드라이브,닭볶음탕",12001677,장수장,2,36.6632963,127.5428547
충청북도 청주시 상당구 상당로131번길 7-2 1층 소로리,"음식점,한식",,1598343454,소로리,3,36.6399856,127.4893089
충청북도 청주시 흥덕구 서현로 68 상가동 B103~107호,"카페,디저트,베이글",,1951317685,FOURB 청주,4,36.6163159,127.4309469
충청북도 진천군 덕산읍 대월1길 22 103호,"음식점,카페,디저트",,1734730250,카페노란코끼리,12,36.8990539,127.5359396
충청북도 진천군 덕산읍 시가로 39 107호,"일식,일식튀김,꼬치",,1292292054,꼬치의품격 충북혁신도시점,13,36.9044600,127.5350760
충청북도 진천군 광혜원면 구암길 30,"일식,일식당",,11566630,마라도일식,14,36.9908014,127.4331734
충청북도 증평군 증평읍 인삼로 408 카페 미몽,"음식점,카페,디저트",,1970139336,미몽,11,36.8127010,127.5861988
충청북도 증평군 증평읍 광장로 112,"한식,주꾸미요리","쭈꾸미,시장,직화,웰빙,도토리묵",19991874,보끄미 증평점,12,36.7841691,127.5841134
충청북도 청주시 서원구 1순환로1063번길 61-2 2층,"음식점,카페,디저트",,1877640081,데일리오아시스 청주점,5,36.6095282,127.4854083
충청북도 청주시 서원구 궁뜰로33번길 135,"음식점,카페,디저트",,1164127377,더 리플,6,36.6039174,127.4843730
충청북도 청주시 상당구 상당로91번길 38-8,"카페,디저트",,1702891424,망원동티라미수 청주점,7,36.6365533,127.4884397
충청북도 청주시 흥덕구 죽천로 96-2,"음식점,한식","버섯샤브샤브,해물칼국수,화덕피자,친절하고,신선한",36351638,정다운샤브막국수 복대본점,8,36.6376270,127.4333505
충청북도 청주시 상당구 남일면 가좌신송로 190-53 엔트라포레 ,"카페,디저트,카페",,1666388049,엔트라포레,9,36.5695222,127.4791754
충청북도 진천군 덕산읍 공원로 18 101호,"일식,초밥,롤",,1610142210,생선장수 충북혁신도시점,15,36.9044551,127.5341879
충청북도 진천군 덕산읍 이영남로 73,"음식점,한식","김치찌개,손두부,홍어,웰빙,tv방영",13121955,농민쉐프의묵은지화련,16,36.8814217,127.5172820
충청북도 진천군 덕산읍 초금로 744-10,"음식점,한식",,13327199,가마솥밥상,17,36.9110230,127.5081490
충청북도 진천군 덕산읍 대월2길 31,"음식점,카페,디저트",,1503750312,안녕케이크,18,36.8998418,127.5381343
충청북도 충주시 연수상가4길 17-1,"음식점,한식",,1155046915,청춘식당,1,36.9889942,127.9294701
충청북도 충주시 중앙탑면 원앙길 17 3층,"한식,칼국수,만두",,1116254343,정담칼국수,2,37.0179316,127.8246831
,"카페,디저트,차","한옥카페,공방,고즈넉한,사진찍기,건강식",21251027,실희원,3,37.0292563,127.9631073
충청북도 충주시 관아3길 21,"한식,냉면","냉면,갈비탕,양장피",17505252,삼정면옥,4,36.9712473,127.9338667
충청남도 계룡시 엄사면 전원로 8-1 1층,"음식점,양식","크림파스타,이탈리안레스토랑,스테이크,신선한,피자",37350297,비스트로 씨에르보,1,36.2904616,127.2415912
충청남도 계룡시 엄사면 전원1길 13 1층,"음식점,한식",,1738354312,모꼬지,2,36.2910199,127.2425109
충청남도 계룡시 엄사면 번영8길 8-3,"음식점,한식",,1081898598,올리브식탁,3,36.2876446,127.2347587
충청남도 계룡시 엄사면 번영로 212,"음식점,카페,디저트",,1279708670,로코스212,4,36.2850195,127.2226526
충청북도 증평군 증평읍 장뜰로 75,"한식,감자탕",,37486476,뼈도둑감자탕,13,36.7846024,127.5840498
