addr,category,context,id1,name,rank,x,y
전라북도 군산시 신창동 1-5,"여행,명소,촬영장소","철길,박물관,촬영지,조그마한,매운잡채",35977906,영화[8월의크리스마스]촬영지,7,35.9877369,126.7083529
전라북도 군산시 비응도동 95,"여행,명소,항구","쭈꾸미,일몰,유람선,드라이브,항구",17501860,비응항,11,35.9346263,126.526175
전라북도 군산시 비응도동,"여행,명소,지역명소","갯벌체험,유채꽃,패러글라이딩,조그마한,일몰",17513085,새만금방조제,5,35.895945,126.5175474
전라북도 군산시 나운동 1223-5,"여행,명소,도시,테마공원","음악분수대,호수,시민공원,화려한,데이트",21070906,은파호수공원,6,35.9554919,126.6896437
전라북도 군산시 경암동 539-4,"여행,명소,거리,골목","철길,치즈호떡,벽화마을,아기자기,사진찍기",31825959,경암동철길마을,1,35.9813238,126.7348693
전라북도 고창군 아산면 삼인리 500,"여행,명소,도립공원","단풍놀이,등산,꽃무릇,화려한,생태공원",11491432,선운산도립공원,11,35.501398,126.578969
전라북도 고창군 아산면 삼인리 394-28,"여행,명소,숲,숲길","공원,등산,축제행사,장어,보양식",418299876,선운산생태숲,20,35.5007573,126.5835261
전라북도 고창군 심원면 하전리 979,"여행,명소,체험마을","갯벌체험,바지락",11885918,하전갯벌 정보화마을,19,35.5400333,126.5616413
전라북도 고창군 심원면 연화리,"여행,명소,산,고개","꽃무릇,단풍구경,등산,편안한,국립공원",13491066,선운산,12,35.4986749,126.5689852
전라북도 고창군 심원면 만돌리 960-27,"여행,명소,체험여행","갯벌체험,체험학습,바지락,재미있는,꽃게",12824681,만돌갯벌체험학습장,5,35.5301499,126.5149999
전라북도 고창군 심원면 만돌리 735-1,"여행,명소,근린공원",,20443356,서해안바람공원,10,35.5309653,126.5137701
전라북도 고창군 상하면 자룡리 산1-2,"여행,명소,테마공원","가을소풍,목장,동물농장,깨끗한,수제아이스크림",36369092,상하농원,2,35.4468931,126.4502661
전라북도 고창군 상하면 자룡리,"여행,명소,해수욕장,해변","해변,캠핑,바다낚시,편안한,갯벌체험",13491141,구시포 해수욕장,1,35.4465993,126.4356096
전라북도 고창군 상하면 자룡리,"여행,명소,항구","일몰,해변,갯벌체험,바다낚시,산책",13538103,구시포항,13,35.4497145,126.4330479
전라북도 고창군 상하면 송곡리,"여행,명소,촬영장소",,38302072,TVN[삼시세끼고창편]촬영지,14,35.4423016,126.5213313
전라북도 고창군 부안면 용산리 409-1,"여행,명소,관광농원,팜스테이",,1634824095,꽃객프로젝트,6,35.5026951,126.6264273
전라북도 고창군 부안면 선운리 231,"문화,예술,전시관","벽화마을,단풍,가을축제,서정적인,드라이브",12269929,미당시문학관,16,35.5355954,126.6099221
전라북도 고창군 공음면 예전리 산119-2,"관람,체험,부속시설","청보리,유채꽃밭,해바라기밭,이국적,촬영지",17682296,학원관광농원고창청보리밭,7,35.3743242,126.5418113
전라북도 고창군 공음면 예전리 469-4,"여행,명소,관광농원,팜스테이","해바라기밭,농장,청보리,편안한,사진찍기",11656917,보리나라 학원농장,3,35.375516,126.5429379
전라북도 고창군 고창읍 죽림리 86-5,"여행,명소,근린공원",,17676024,뚜라조각공원,18,35.4479571,126.667857
전라북도 고창군 고창읍 죽림리 665-9,"여행,명소,세계문화유산","유적지,박물관,유채꽃밭,갯벌체험,억새",38300945,고창고인돌유적,17,35.4490057,126.649384
전라북도 고창군 고창읍 읍내리 126,"여행,명소,성곽명","성곽길,야경,박물관,편안한,가을축제",13177095,고창읍성,4,35.4301441,126.7048634
전라북도 고창군 고창읍 석정리 733,"여행,명소,온천,스파","워터파크,온천스파,노천온천,깨끗한,힐링",21801021,석정온천휴스파,8,35.43204,126.7410118
전라북도 고창군 고창읍 도산리 676,"여행,명소,박물관","박물관,생태공원,선사유적지,재미있는,경치",12956067,고창고인돌박물관,9,35.4416263,126.65235
전라북도 고창군 고창읍 도산리 559-7,"여행,명소,관람,체험",,1286653315,휴스토리,15,35.4381281,126.6529293
전라남도 화순군 화순읍 이십곡리 601-12,"문화,예술,미술관","갤러리카페,레스토랑,산책로,아기자기,드라이브",21889034,소아르갤러리,4,35.0758179,126.9588917
전라남도 화순군 화순읍 수만리 326-1,"여행,명소,관광농원,팜스테이","목장,전망대,나들이,깨끗한,산책로",37765033,무등산양떼목장,2,35.095304,127.0118779
